,Randomization - 1,Randomization - 2,Randomization - 3,Randomization - 4,Randomization - 5,Randomization - 6,Randomization - 7,Randomization - 8,Randomization - 9,Randomization - 10,Randomization - 11,Randomization - 12,Randomization - 13,Randomization - 14,Randomization - 15
TCGA-14-1401,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train
TCGA-14-1402,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train
TCGA-14-1451,Train,Test,Train,Test,Test,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train
TCGA-14-1452,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train
TCGA-14-1453,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Test
TCGA-14-1454,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-14-1455,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-14-1458,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train
TCGA-14-1459,Train,Train,Train,Test,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train
TCGA-14-1794,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train
TCGA-14-1795,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Test,Train
TCGA-14-1821,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train
TCGA-14-1823,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train
TCGA-14-1825,Test,Train,Test,Train,Train,Train,Train,Test,Train,Test,Train,Train,Test,Train,Train
TCGA-14-1827,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train
TCGA-14-1829,Train,Test,Train,Train,Test,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-15-0742,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-15-1444,Train,Test,Train,Test,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train
TCGA-15-1446,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-15-1447,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train
TCGA-15-1449,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test
TCGA-19-0955,Train,Train,Test,Test,Test,Test,Test,Train,Train,Train,Train,Test,Train,Test,Test
TCGA-19-0964,Test,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-19-1386,Test,Train,Train,Train,Train,Train,Test,Train,Test,Train,Test,Train,Train,Train,Train
TCGA-19-1387,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test
TCGA-19-1392,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train
TCGA-19-2619,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train
TCGA-19-2631,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Test,Train
TCGA-19-5947,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train
TCGA-19-5950,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train
TCGA-19-5951,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Test,Test,Train,Train
TCGA-19-5952,Train,Test,Test,Test,Train,Train,Train,Train,Train,Test,Test,Train,Train,Test,Train
TCGA-19-5953,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Test
TCGA-19-5954,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Test,Train,Train,Train
TCGA-19-5955,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test
TCGA-19-5956,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train
TCGA-19-5958,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-19-5959,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test
TCGA-19-5960,Test,Train,Train,Test,Train,Train,Test,Test,Test,Train,Train,Train,Test,Test,Train
TCGA-19-A60I,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train
TCGA-19-A6J5,Train,Train,Train,Test,Test,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train
TCGA-26-1438,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-26-1439,Train,Test,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train
TCGA-26-1440,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-26-1442,Test,Test,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train
TCGA-26-1443,Train,Train,Test,Train,Train,Train,Train,Test,Train,Test,Train,Test,Train,Train,Test
TCGA-26-1799,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train
TCGA-26-5132,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train
TCGA-26-5133,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train
TCGA-26-5134,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train
TCGA-26-5135,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Test,Train
TCGA-26-5136,Test,Test,Train,Train,Train,Test,Train,Train,Train,Test,Test,Train,Train,Test,Train
TCGA-26-5139,Test,Test,Train,Test,Train,Test,Train,Train,Train,Train,Train,Test,Test,Test,Train
TCGA-26-6173,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train
TCGA-26-6174,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test
TCGA-26-A7UX,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train
TCGA-27-1830,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train
TCGA-27-1831,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Test,Test
TCGA-27-1832,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Test,Train,Test,Train,Train
TCGA-27-1833,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Test,Train,Train,Train,Train
TCGA-27-1834,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train
TCGA-27-1835,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train
TCGA-27-1836,Test,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train
TCGA-27-1837,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test
TCGA-27-1838,Test,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test
TCGA-27-2518,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test
TCGA-27-2519,Train,Train,Test,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train
TCGA-27-2521,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train
TCGA-27-2523,Train,Test,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train
TCGA-27-2524,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Test,Train,Train
TCGA-27-2526,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train
TCGA-27-2527,Train,Train,Test,Train,Test,Train,Test,Train,Train,Train,Test,Train,Test,Train,Train
TCGA-27-2528,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-28-1746,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Test,Test,Train,Train
TCGA-28-1749,Train,Train,Test,Train,Test,Train,Test,Test,Train,Train,Test,Train,Train,Train,Train
TCGA-28-1750,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-28-1751,Test,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-28-1752,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Test,Train,Test,Train
TCGA-28-1755,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Test,Train,Train
TCGA-28-1757,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-28-1760,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-41-2572,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-41-2573,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-41-2575,Train,Train,Train,Train,Train,Test,Train,Train,Test,Test,Train,Train,Train,Train,Test
TCGA-41-3392,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train
TCGA-41-3393,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Test,Test,Train,Train,Train
TCGA-41-3915,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test
TCGA-41-4097,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Test,Train
TCGA-41-5651,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train
TCGA-4W-AA9S,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train
TCGA-4W-AA9T,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Test,Test
TCGA-81-5910,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train
TCGA-81-5911,Train,Train,Train,Test,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test
TCGA-87-5896,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test
TCGA-CS-4938,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-CS-4941,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train
TCGA-CS-4942,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train
TCGA-CS-4943,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train
TCGA-CS-4944,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train
TCGA-CS-5393,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train
TCGA-CS-5394,Train,Train,Train,Train,Test,Test,Train,Train,Test,Train,Test,Train,Train,Train,Train
TCGA-CS-5395,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train
TCGA-CS-5396,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train
TCGA-CS-5397,Train,Train,Train,Train,Train,Test,Train,Test,Train,Test,Train,Train,Train,Train,Train
TCGA-CS-6186,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train
TCGA-CS-6188,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-CS-6290,Train,Train,Train,Train,Test,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train
TCGA-CS-6665,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Test,Test,Test,Train,Train
TCGA-CS-6666,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-CS-6667,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-CS-6668,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Test
TCGA-CS-6669,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train
TCGA-CS-6670,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Test,Train
TCGA-DB-5270,Test,Train,Test,Test,Train,Train,Train,Train,Test,Train,Test,Train,Train,Test,Train
TCGA-DB-5273,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train
TCGA-DB-5274,Train,Train,Test,Train,Test,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train
TCGA-DB-5275,Train,Test,Test,Train,Train,Test,Train,Train,Train,Test,Train,Test,Train,Train,Test
TCGA-DB-5276,Train,Train,Train,Train,Test,Train,Test,Test,Train,Test,Train,Train,Test,Train,Train
TCGA-DB-5277,Train,Train,Test,Train,Train,Test,Train,Test,Test,Train,Train,Train,Train,Train,Test
TCGA-DB-5278,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Test,Train,Train,Train
TCGA-DB-5279,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-DB-5280,Test,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Test
TCGA-DB-5281,Train,Train,Train,Test,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-DB-A4X9,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Test,Test,Train
TCGA-DB-A4XA,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train
TCGA-DB-A4XB,Train,Train,Train,Train,Train,Test,Train,Test,Test,Train,Test,Train,Train,Train,Train
TCGA-DB-A4XC,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-DB-A4XD,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train
TCGA-DB-A4XE,Test,Train,Train,Train,Test,Train,Test,Train,Train,Test,Train,Test,Train,Train,Train
TCGA-DB-A4XF,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train
TCGA-DB-A4XG,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train
TCGA-DB-A4XH,Train,Train,Test,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Test,Train
TCGA-DB-A64L,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Test,Test,Train,Train
TCGA-DB-A64O,Train,Train,Test,Train,Test,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train
TCGA-DB-A64P,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train
TCGA-DB-A64Q,Train,Train,Test,Train,Train,Test,Test,Test,Train,Train,Test,Train,Train,Train,Train
TCGA-DB-A64R,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train
TCGA-DB-A64S,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train
TCGA-DB-A64U,Train,Train,Train,Test,Test,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-DB-A64V,Train,Train,Train,Test,Train,Train,Train,Test,Test,Train,Train,Test,Train,Train,Train
TCGA-DB-A64W,Train,Train,Train,Train,Test,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train
TCGA-DB-A64X,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train
TCGA-DB-A75K,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Test,Train,Train
TCGA-DB-A75L,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train
TCGA-DB-A75M,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-DB-A75O,Test,Train,Train,Train,Test,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train
TCGA-DB-A75P,Train,Test,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Test,Train
TCGA-DH-5140,Train,Test,Test,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test
TCGA-DH-5141,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train
TCGA-DH-5142,Train,Train,Train,Test,Test,Train,Train,Train,Test,Train,Test,Train,Test,Test,Test
TCGA-DH-5143,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-DH-5144,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train
TCGA-DH-A669,Train,Train,Test,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Test
TCGA-DH-A66B,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-DH-A66D,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Test,Train,Test
TCGA-DH-A66F,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-DH-A66G,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-DH-A7UR,Train,Train,Test,Test,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train
TCGA-DH-A7US,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test
TCGA-DH-A7UT,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train
TCGA-DH-A7UU,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Test,Train,Train,Train
TCGA-DH-A7UV,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test
TCGA-DU-5847,Train,Test,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-DU-5849,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train
TCGA-DU-5851,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-DU-5852,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train
TCGA-DU-5853,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train
TCGA-DU-5854,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-DU-5855,Test,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train
TCGA-DU-5870,Train,Train,Train,Train,Test,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-DU-5872,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train
TCGA-DU-5874,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train
TCGA-DU-6392,Train,Train,Test,Train,Train,Test,Train,Train,Train,Test,Test,Train,Train,Train,Train
TCGA-DU-6393,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train
TCGA-DU-6394,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train
TCGA-DU-6395,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train
TCGA-DU-6396,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train
TCGA-DU-6397,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Test
TCGA-DU-6399,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test
TCGA-DU-6400,Test,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train
TCGA-DU-6401,Train,Train,Test,Train,Train,Test,Test,Train,Test,Train,Train,Train,Train,Train,Train
TCGA-DU-6402,Test,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Test
TCGA-DU-6403,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train
TCGA-DU-6404,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train
TCGA-DU-6405,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train
TCGA-DU-6406,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train
TCGA-DU-6407,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test
TCGA-DU-6408,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train
TCGA-DU-6410,Train,Test,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train
TCGA-DU-6542,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train
TCGA-DU-7006,Test,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train
TCGA-DU-7007,Test,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train
TCGA-DU-7008,Train,Train,Train,Train,Train,Train,Test,Test,Train,Test,Train,Test,Train,Train,Test
TCGA-DU-7009,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test
TCGA-DU-7010,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train
TCGA-DU-7011,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train
TCGA-DU-7012,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train
TCGA-DU-7013,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train
TCGA-DU-7014,Test,Train,Train,Train,Test,Train,Train,Train,Test,Test,Train,Train,Train,Train,Test
TCGA-DU-7015,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-DU-7018,Train,Train,Train,Test,Test,Test,Train,Train,Train,Test,Train,Test,Train,Test,Train
TCGA-DU-7019,Train,Test,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Test,Test,Train
TCGA-DU-7290,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test
TCGA-DU-7292,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-DU-7294,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test
TCGA-DU-7298,Test,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-DU-7299,Test,Test,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train
TCGA-DU-7300,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test
TCGA-DU-7301,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train
TCGA-DU-7302,Train,Test,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test
TCGA-DU-7304,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train
TCGA-DU-7306,Train,Test,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train
TCGA-DU-7309,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-DU-8158,Train,Train,Train,Train,Train,Test,Train,Test,Test,Train,Train,Train,Train,Train,Train
TCGA-DU-8161,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test
TCGA-DU-8162,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test
TCGA-DU-8163,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-DU-8164,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train
TCGA-DU-8165,Train,Train,Train,Train,Train,Test,Test,Train,Train,Test,Train,Train,Test,Test,Train
TCGA-DU-8166,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Test,Train
TCGA-DU-8167,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-DU-8168,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train
TCGA-EZ-7264,Train,Test,Test,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train
TCGA-F6-A8O3,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train
TCGA-F6-A8O4,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Test,Train,Train,Train
TCGA-FG-5962,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Test,Train
TCGA-FG-5963,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train
TCGA-FG-5964,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-FG-5965,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train
TCGA-FG-6688,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Test,Train,Test,Train
TCGA-FG-6689,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test
TCGA-FG-6690,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Test,Train,Train,Train,Train
TCGA-FG-6691,Train,Train,Test,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train
TCGA-FG-6692,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train
TCGA-FG-7634,Train,Test,Train,Test,Train,Test,Train,Train,Train,Test,Train,Train,Train,Test,Train
TCGA-FG-7636,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Test,Train
TCGA-FG-7637,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-FG-7638,Train,Train,Test,Train,Test,Train,Test,Train,Train,Test,Train,Test,Train,Train,Test
TCGA-FG-7641,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-FG-7643,Test,Train,Train,Train,Train,Train,Train,Test,Train,Test,Test,Train,Train,Test,Train
TCGA-FG-8181,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train
TCGA-FG-8182,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-FG-8185,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Test,Test,Test,Train
TCGA-FG-8186,Train,Test,Train,Train,Train,Train,Test,Train,Test,Train,Test,Train,Train,Train,Train
TCGA-FG-8187,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train
TCGA-FG-8188,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test
TCGA-FG-8189,Train,Test,Train,Test,Train,Train,Train,Test,Train,Train,Test,Test,Train,Train,Test
TCGA-FG-8191,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Test,Train,Test
